UsageDuration,Userid,Text,Sentiment,Timestamp,User,App,Hashtags,time_spent,Likes,Country,Year,Month,Day,Hour,Age,gender
5,579,"Surrounded by the vibrant colors of a flower garden, the gardener nurtures blossoms, finding joy in the beauty of nature's ever-changing canvas. ",Negative,5/15/2020 18:30,User574, Instagram ,#Tag574 #Fun,1,55, Australia ,2020,5,15,18,36,female
9,616,"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging ",Positive,6/20/2023 14:20,User611, Instagram ,#Tag611 #Fun,1,40, USA,2016,6,20,14,44,female
4,115," Meditating by the serene lake, finding inner peace.   ",Neutral,2/12/2022 18:20,User112, Twitter  ,#Tag112 #Fun,1,35, UK          ,2022,2,12,18,45,non-binary
3,114," Embracing the beauty of nature, a moment of contentment. ",Negative,6/20/2011 14:45,User111, Facebook ,#Tag111 #Fun,1,50, India       ,2011,6,20,14,58,female
9,427,"Tears fall like raindrops, mourning the end of a cherished friendship. ",Neutral,11/28/2020 14:20,User422, Facebook ,#Tag422 #Fun,1,45, UK              ,2020,11,28,14,57,male
1,613,Capturing the beauty of nature through photography. Every snapshot is a treasure. #NaturePhotography #SeniorPhotographer ,Neutral,6/17/2023 15:00,User608, Instagram ,#Tag608 #Fun,1,70, USA,2021,6,17,15,57,female
47,110, Pride in accomplishing personal and professional goals.  ,Neutral,3/3/2023 14:30,User107, Instagram ,#Tag107 #Fun,1,25, Canada ,2023,3,3,14,50,male
8,248," Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",Neutral,10/10/2021 14:45,User243, Twitter  ,#Tag243 #Fun,1,40, UK            ,2021,10,10,14,37,female
18,107, Confusion surrounds me as I navigate through life's choices. ,Negative,3/2/2023 13:15,User104, Instagram ,#Tag104 #Fun,1,60, USA   ,2023,3,2,13,25,male
4,432,"Haunted by regrets, the ghost of the past lingers relentlessly.   ",Positive,12/15/2018 10:00,User427, Twitter  ,#Tag427 #Fun,1,35, France         ,2018,12,15,10,36,female
1,275," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",Neutral,9/3/2023 21:40,User270, Facebook ,#Tag270 #Fun,1,32, USA ,2023,9,3,21,26,non-binary
6,493,"A symphony of laughter, each note a key to unlocking the door of boundless happiness. ",Negative,8/2/2021 19:00,User488, Facebook ,#Tag488 #Fun,1,60, Brazil ,2021,8,2,19,33,non-binary
2,265," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",Negative,11/29/2020 14:45,User260, Instagram ,#Tag260 #Fun,1,34, USA ,2020,11,29,14,52,male
56,102, A moment of shame for not speaking up against injustice.,Negative,2/28/2023 19:45,User99, Facebook ,#Tag99 #Fun,1,30, India     ,2023,2,28,19,61,female
13,245," Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",Neutral,5/18/2017 14:45,User240, Twitter  ,#Tag240 #Fun,1,25, USA          ,2017,5,18,14,43,non-binary
1,142, Serenity found in the melody of a peaceful piano.    ,Positive,7/30/2016 18:10,User139, Twitter  ,#Tag139 #Fun,1,35, Canada      ,2016,7,30,18,44,male
1,602,Attended a concert and danced the night away. Music is the heartbeat of life. #ConcertVibes #DanceAllNight ,Positive,6/6/2023 22:30,User597, Facebook ,#Tag597 #Fun,1,55, Canada,2015,6,6,22,35,male
18,95, Anticipating the release of a much-awaited movie.       ,Negative,2/26/2023 7:30,User92, Instagram ,#Tag92 #Fun,1,40, Australia    ,2023,2,26,7,62,female
8,148, Arousal of excitement before a much-awaited trip.    ,Negative,3/10/2018 9:45,User145, Twitter  ,#Tag145 #Fun,1,40, India    ,2018,3,10,9,30,male
18,676,Creating a secret handshake with friends. Friendship level: Expert! ,Positive,8/30/2023 17:30,User671, Facebook ,#Tag671 #Fun,1,40, USA,2023,8,30,17,58,male
3,242," Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",Neutral,6/5/2020 12:15,User237,Snapchat,#Tag237 #Fun,1,28, Australia    ,2020,6,5,12,37,male
4,660,Mastering the art of the perfect doodle during boring classes. Doodles: A+! ,Positive,8/14/2023 16:15,User655, Twitter ,#Tag655 #Fun,1,40, USA,2019,8,14,16,61,male
5,52, Starting a new fitness challenge tomorrow! 💪     ,Negative,2/1/2023 8:00,User50, Facebook ,#Tag50 #Fun,1,45, UK         ,2023,2,1,8,45,non-binary
5,124, Reverence for the beauty of a historic landmark.       ,Negative,11/11/2019 15:00,User121, Twitter  ,#Tag121 #Fun,1,35, UK      ,2019,11,11,15,54,female
4,520,"Immersed in the pulsating beats of a Bruno Mars concert, where 'Uptown Funk' becomes a city of joy. ",Positive,3/28/2017 20:30,User515, Facebook ,#Tag515 #Fun,1,55, USA ,2017,3,28,20,63,female
2,302," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",Neutral,3/8/2019 14:20,User297, Facebook ,#Tag297 #Fun,1,24, UK ,2019,3,8,14,58,male
3,763,"Visited an art gallery, appreciating the brushstrokes that tell tales of creativity. Art, an eternal companion. #ArtGallery #SeniorArtLover ",Negative,12/26/2023 1:05,User758,Snapchat,#Tag758 #Fun,1,8, Australia ,2022,69,1,3,8,female
1,468,"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. ",Positive,3/2/2021 17:45,User463, Instagram ,#Tag463 #Fun,1,50, Canada ,2021,3,2,17,63,male
1,470,"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",Neutral,8/15/2020 12:30,User465, Facebook ,#Tag465 #Fun,1,55, France ,2020,8,15,12,29,male
1,32, Weekend road trip to explore scenic views.         ,Negative,1/24/2023 17:30,User30, Instagram ,#Tag30 #Fun,1,35, UK        ,2023,1,24,17,59,male
2,491,"Like a comet of inspiration, streaking through the sky of creativity, leaving trails of brilliance. ",Neutral,5/28/2020 16:00,User486, Twitter ,#Tag486 #Fun,1,35, France ,2020,5,28,16,62,non-binary
2,508,"In the midst of the Amazon rainforest, a symphony of wildlife creates an orchestra of nature's wonders. ",Positive,6/10/2021 16:00,User503, Instagram ,#Tag503 #Fun,1,60, Brazil ,2021,6,10,16,29,non-binary
5,515,"At the front row of Adele's concert, each note of 'Someone Like You' resonates with soul-stirring emotion. ",Negative,9/15/2022 20:00,User510, Instagram ,#Tag510 #Fun,1,80, USA ,2022,9,15,20,61,male
1,342,Overwhelmed by the support received during a personal challenge.,Negative,5/20/2021 17:30,User337, Facebook ,#Tag337 #Fun,1,50, USA               ,2021,5,20,17,63,male
8,211," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",Negative,5/15/2021 11:45,User208, Twitter  ,#Tag208 #Fun,1,30, UK            ,2021,5,15,11,40,female
9,790,Got my hands on the latest fantasy novel. Diving into realms of magic and adventure! ,Negative,12/26/2023 1:05,User785,Snapchat,#Tag785 #Fun,1,7, India ,2023,9,52,3,6,male
4,460,"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",Positive,12/22/2016 21:45,User455, Facebook ,#Tag455 #Fun,1,50, USA ,2016,12,22,21,54,male
5,23, Just finished a challenging workout routine.       ,Negative,1/22/2023 9:15,User23, Twitter  ,#Tag23 #Fun,1,40, UK       ,2023,1,22,9,38,female
2,351,Gratitude for the simple joys found in a cup of morning coffee.    ,Positive,4/15/2017 8:00,User346, Twitter  ,#Tag346 #Fun,1,45, India             ,2017,4,15,8,52,female
1,485,"In the embrace of love, each heartbeat is a melody, dancing to the rhythm of affection. ",Positive,11/15/2022 20:45,User480, Twitter ,#Tag480 #Fun,1,70, USA ,2022,11,15,20,48,male
5,315," Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",Neutral,7/14/2023 23:00,User310, Twitter ,#Tag310 #Fun,1,26, UK ,2023,7,14,23,29,female
13,815,Experimenting with a new hair color. A bold change for a bold semester! ,Neutral,12/26/2023 1:05,User810,YouTube,#Tag810 #Fun,1,6, USA               ,2018,14,82,62,3,female
2,487,"In the symphony of excitement, each note is a burst of energy, igniting the soul with fervor. ",Negative,4/18/2021 14:20,User482, Facebook ,#Tag482 #Fun,1,60, UK ,2021,4,18,14,36,female
6,799,Trying to set a new trend by juggling textbooks between classes. Academic juggling: A unique skill! ,Negative,12/26/2023 1:05,User794,YouTube,#Tag794 #Fun,1,31, Australia ,2022,40,5,5,3,non-binary
9,364,Confidence soars after overcoming public speaking anxiety.       ,Neutral,4/2/2020 17:30,User359, Instagram ,#Tag359 #Fun,1,30, USA               ,2020,4,2,17,63,male
3,196," Resentment festers, a wound that refuses to heal.  ",Positive,1/12/2017 12:00,User193, Twitter  ,#Tag193 #Fun,1,20, India         ,2017,1,12,12,41,non-binary
9,503,"Embarking on a gondola ride in Venice, each canal reflecting the romance of this timeless city. ",Neutral,4/18/2019 16:30,User498, Instagram ,#Tag498 #Fun,1,40, Italy ,2019,4,18,16,52,non-binary
7,751,"Participated in a community art class, unleashing creativity in the golden years. Art has no age limit. #ArtClass #SeniorArtistry ",Neutral,12/26/2023 1:05,User746,Snapchat,#Tag746 #Fun,1,84, Canada ,2023,82,8,3,61,male
2,544,"As the closing scene unfolds, a sense of satisfaction washes over, completing the cinematic journey with a profound and fulfilling ending. ",Negative,9/10/2020 19:45,User539, Twitter ,#Tag539 #Fun,1,45, Brazil ,2020,9,10,19,26,male
9,729,Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! ,Positive,10/22/2023 20:45,User724, Instagram ,#Tag724 #Fun,1,43, UK,2019,10,22,20,64,non-binary
27,834,Encountering online toxicity during a gaming session. Hateful comments can ruin the fun. ,Positive,12/26/2023 1:05,User829,YouTube,#Tag829 #Fun,1,68, UK                ,2021,4,63,7,6,female
1,4, Trying out a new recipe for dinner tonight.        ,Neutral,1/15/2023 19:55,User4, Instagram ,#Tag4 #Fun,1,25, Australia ,2023,1,15,19,25,male
5,44, Feeling accomplished after a productive day.       ,Positive,1/29/2023 17:00,User42, Instagram ,#Tag42 #Fun,1,45, India ,2023,1,29,17,35,female
4,203," Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Neutral,6/18/2019 20:45,User200, Instagram ,#Tag200 #Fun,1,25, Australia     ,2019,6,18,20,56,male
7,336," Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",Negative,9/19/2019 3:30,User331, Facebook ,#Tag331 #Fun,1,36, Australia ,2019,9,19,3,52,non-binary
1,224," Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",Positive,6/18/2017 14:45,User221, Instagram ,#Tag221 #Fun,1,25, India         ,2017,6,18,14,28,male
34,837,Experiencing hate comments for expressing personal opinions. Online negativity prevails. ,Neutral,12/26/2023 1:05,User832,YouTube,#Tag832 #Fun,1,2, Australia          ,2016,7,81,3,8,non-binary
1,40, Trying out a new dessert recipe.                   ,Neutral,1/27/2023 16:10,User38, Facebook ,#Tag38 #Fun,1,25, Canada ,2023,1,27,16,24,non-binary
1,502,"Amazed by the architectural marvels of Petra, each stone telling tales of an ancient civilization. ",Positive,1/28/2023 13:00,User497, Twitter ,#Tag497 #Fun,1,60, Jordan ,2023,1,28,13,29,female
5,536,"As the credits roll, a profound sense of nostalgia washes over, reminiscent of cherished moments in classic films. ",Positive,6/25/2019 22:15,User531, Instagram ,#Tag531 #Fun,1,70, UK ,2019,6,25,22,28,non-binary
2,137, Reverence for the artistry displayed in a museum.      ,Negative,11/11/2020 15:00,User134, Instagram ,#Tag134 #Fun,2,35, UK        ,2020,11,11,15,18,male
1,138, Elation after achieving a personal goal.               ,Negative,3/2/2021 9:30,User135, Facebook ,#Tag135 #Fun,2,50, USA      ,2021,3,2,9,22,male
3,498,"Amidst the tulip fields of Keukenhof, a tapestry of colors that paints the soul with springtime joy. ",Negative,4/2/2021 18:20,User493, Instagram ,#Tag493 #Fun,2,70, Netherlands ,2021,4,2,18,49,female
3,494,"In the carnival of emotions, the rollercoaster of thrill sends the heart on a wild ride. ",Negative,3/28/2019 15:30,User489, Instagram ,#Tag489 #Fun,2,70, South Africa ,2019,3,28,15,41,male
5,131, Empowerment through learning and personal growth.      ,Negative,7/20/2014 11:30,User128, Instagram ,#Tag128 #Fun,2,50,USA,2014,7,20,11,18,female
9,620,"Participated in a community art class, unleashing creativity in the golden years. Art has no age limit. #ArtClass #SeniorArtistry ",Neutral,6/24/2023 16:15,User615, Twitter ,#Tag615 #Fun,2,45, Canada,2017,6,24,16,54,male
11,624,"Joined a nature photography club, capturing the beauty of the great outdoors. Every click is a connection to nature. #NaturePhotography #SeniorPhotographer ",Positive,6/28/2023 22:15,User619, Facebook ,#Tag619 #Fun,2,35, UK,2021,6,28,22,62,male
1,244," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",Positive,2/25/2019 21:00,User239,Snapchat,#Tag239 #Fun,2,26, UK            ,2019,2,25,21,36,non-binary
5,416,Giddy with excitement as the first snowflakes dance from the sky. ,Positive,12/2/2020 17:30,User411, Twitter  ,#Tag411 #Fun,2,45, Canada         ,2020,12,2,17,61,female
1,596,Spent the day binge-watching a new series. Productivity level: Zero. #LazyDay #TVSeriesMarathon ,Positive,5/31/2023 15:30,User591, Facebook ,#Tag591 #Fun,2,70, Canada,2015,5,31,15,22,female
2,175, Helplessness sinks in as challenges pile up.       ,Negative,6/20/2020 14:20,User172, Twitter  ,#Tag172 #Fun,2,15, Australia    ,2020,6,20,14,37,male
2,592,"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",Neutral,5/27/2023 21:15,User587, Instagram ,#Tag587 #Fun,2,45, Canada,2018,5,27,21,59,non-binary
2,227," A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",Negative,9/10/2021 14:45,User224, Instagram ,#Tag224 #Fun,2,40, UK            ,2021,9,10,14,41,non-binary
7,462,"A soul weathered by the storm of heartbreak, seeking refuge in the calm after. ",Negative,4/18/2019 11:00,User457, Twitter ,#Tag457 #Fun,2,45, Brazil ,2019,4,18,11,46,male
8,551,"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. ",Positive,4/10/2016 18:30,User546, Instagram ,#Tag546 #Fun,2,45, Scotland ,2016,4,10,18,49,female
4,451,"Sinking like a stone in the ocean of heartbreak, each ripple a sigh of despair. ",Positive,8/10/2017 19:30,User446, Twitter ,#Tag446 #Fun,2,45, France ,2017,8,10,19,33,female
2,555,"After a series of defeats, the soccer team faces disappointment, struggling to find the silver lining in a challenging season. ",Negative,11/2/2019 18:45,User550, Twitter ,#Tag550 #Fun,2,80, Brazil ,2019,11,2,18,54,male
2,170, Resentment building up over past betrayals.        ,Negative,5/22/2018 14:45,User167, Instagram ,#Tag167 #Fun,2,15, Australia     ,2018,5,22,14,23,non-binary
4,558,"In the midst of a cycling race, a tire blowout leads to frustration for the cyclist, who valiantly tries to overcome the unexpected obstacle. ",Neutral,5/15/2017 22:00,User553, Twitter ,#Tag553 #Fun,2,45, France ,2017,5,15,22,40,male
5,542,"As the movie credits roll, the viewer experiences a mix of awe and contemplation, pondering the deeper meanings woven into the storyline. ",Negative,11/5/2019 21:15,User537, Instagram ,#Tag537 #Fun,2,55, Germany ,2019,11,5,21,27,non-binary
1,541,"Discovering a hidden gem in the world of documentaries, the viewer is enlightened and inspired, feeling a renewed sense of curiosity. ",Neutral,4/20/2022 17:30,User536, Twitter ,#Tag536 #Fun,2,45, France ,2022,4,20,17,53,non-binary
5,567,"Amidst the bustling city, a quiet café becomes a sanctuary for reflection, where a cup of coffee brings solace to the wandering mind. ",Neutral,3/15/2022 18:45,User562, Facebook ,#Tag562 #Fun,2,60, France ,2022,3,15,18,30,male
1,593,"Staring at the clock in class, waiting for the bell to ring like it's the most exciting event of the day. #ClassCountdown #TeenLife ",Neutral,5/28/2023 12:00,User588, Facebook ,#Tag588 #Fun,2,35, USA,2022,5,28,12,56,non-binary
3,165, Elation after a surprise reunion with a childhood friend.,Neutral,2/5/2021 9:30,User162, Facebook ,#Tag162 #Fun,2,50, Canada      ,2021,2,5,9,39,male
2,235," A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",Negative,8/10/2018 15:45,User230, Facebook ,#Tag230 #Fun,2,25, Canada        ,2018,8,10,15,33,male
8,465,"In the void of heartache, echoes of a love song play, each note a pang of longing. ",Negative,7/10/2022 22:15,User460, Instagram ,#Tag460 #Fun,2,60, Japan ,2022,7,10,22,22,non-binary
2,160, Tenderness in a quiet moment shared with a pet.      ,Negative,2/10/2016 19:45,User157, Twitter  ,#Tag157 #Fun,2,50, Canada   ,2016,2,10,19,46,male
2,240," Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",Negative,5/8/2022 8:45,User235, Snapchat ,#Tag235 #Fun,2,45, UK            ,2022,5,8,8,46,non-binary
5,187," Intimidation by the challenges ahead, fear takes hold.",Positive,10/22/2021 18:30,User184, Twitter  ,#Tag184 #Fun,2,30, India         ,2021,10,22,18,56,female
1,476,"Laughter echoes in the air, a chorus of happiness that lifts the spirit higher. ",Neutral,4/12/2018 18:30,User471, Twitter ,#Tag471 #Fun,2,70, Canada ,2018,4,12,18,53,non-binary
1,478,"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ",Negative,10/28/2019 14:15,User473, Instagram ,#Tag473 #Fun,2,60, Australia ,2019,10,28,14,47,female
5,194," Loneliness echoes in empty spaces, yearning for connection.",Negative,9/12/2019 18:10,User191, Instagram ,#Tag191 #Fun,2,30, Australia     ,2019,9,12,18,59,male
2,195," Jealousy poisons my thoughts, resentment brewing within.",Neutral,8/5/2018 16:30,User192, Facebook ,#Tag192 #Fun,2,15, USA           ,2018,8,5,16,61,non-binary
1,581,"Engulfed in the aroma of freshly brewed coffee, the writer finds inspiration in every sip, embarking on a journey of creativity and prose. ",Positive,2/12/2023 19:45,User576, Twitter ,#Tag576 #Fun,2,45, France ,2023,2,12,19,33,male
9,440,"Emotional exhaustion, the weight of the world crushing weary shoulders. ",Positive,9/5/2021 13:30,User435, Instagram ,#Tag435 #Fun,2,70, Canada     ,2021,9,5,13,26,non-binary
3,561,"Experiencing a series of losses in the basketball season, the team grapples with frustration, determined to turn the tide with renewed effort. ",Negative,2/12/2019 19:45,User556, Twitter ,#Tag556 #Fun,2,45, Canada ,2019,2,12,19,58,male
20,105, Feeling bitter about the unfairness in the workplace.   ,Negative,3/1/2023 17:45,User102, Twitter  ,#Tag102 #Fun,2,30, Canada    ,2023,3,1,17,28,non-binary
1,415,Curiosity awakened by the mysteries of an ancient archaeological site. ,Neutral,11/8/2015 10:00,User410, Instagram ,#Tag410 #Fun,2,35, Australia ,2015,11,8,10,25,female
11,381,Whimsical delight in a world of fairy tales and magical creatures.  ,Positive,3/8/2016 14:20,User376, Instagram ,#Tag376 #Fun,2,40, USA             ,2016,3,8,14,46,non-binary
45,705,Feeling a sense of despair after a major project failure. Hard work didn't pay off this time. ,Positive,9/28/2023 22:00,User700, Facebook ,#Tag700 #Fun,2,41, UK,2019,9,28,22,34,male
5,633,"Started a book club for seniors, where discussions are as lively as the characters in the novels. #BookClub #SeniorReaders ",Negative,7/7/2023 19:45,User628, Instagram ,#Tag628 #Fun,2,45, UK,2020,7,7,19,23,female
2,379,Chasing dreams like a kite soaring high in the vast open sky.      ,Positive,2/28/2021 13:00,User374, Twitter  ,#Tag374 #Fun,2,60, Australia         ,2021,2,28,13,60,non-binary
9,377,Giggles and joy echo in the air during a children's playdate.      ,Neutral,12/15/2020 15:45,User372, Facebook ,#Tag372 #Fun,2,45, Japan            ,2020,12,15,15,50,non-binary
2,60, Laughter is the best medicine—enjoying a comedy show. ,Positive,2/13/2023 19:30,User57, Facebook ,#Tag57 #Fun,2,45, Canada    ,2023,2,13,19,31,male
1,59, Pure happiness: celebrating a loved one's achievement! ,Neutral,2/13/2023 10:00,User56, Instagram ,#Tag56 #Fun,2,60, USA ,2023,2,13,10,52,non-binary
1,376,Intrigued by the symphony of colors in an abstract art exhibition. ,Negative,4/5/2019 17:30,User371, Twitter  ,#Tag371 #Fun,2,35, France           ,2019,4,5,17,57,male
2,292," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",Negative,1/15/2021 13:00,User287, Facebook ,#Tag287 #Fun,2,46, Canada ,2021,1,15,13,42,male
9,727,Winning a friendly sports competition against rival schools. Victory celebrations in full swing! ,Neutral,10/20/2023 14:15,User722, Twitter ,#Tag722 #Fun,2,50, USA,2018,10,20,14,35,male
2,298," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",Negative,1/5/2020 8:45,User293, Twitter ,#Tag293 #Fun,2,46, USA ,2020,1,5,8,35,female
2,366,Enthusiasm for learning new skills and expanding knowledge.      ,Positive,8/7/2018 12:15,User361, Twitter  ,#Tag361 #Fun,2,60, India             ,2018,8,7,12,49,female
4,740,Exploring the world of digital art. It's never too late to discover new passions. #DigitalArtistry #LateBloomer ,Positive,12/26/2023 1:05,User735,Snapchat,#Tag735 #Fun,2,44, Australia ,2022,2,4,37,46,male
4,746,"Embarked on a road trip to revisit cherished places from the past. Nostalgia, the ultimate travel companion. #RoadTrip #NostalgiaTour ",Neutral,12/26/2023 1:05,User741,Snapchat,#Tag741 #Fun,2,70, Canada ,2021,4,4,47,45,female
2,383,Embracing the thrill of speed on a rollercoaster's exhilarating twists. ,Positive,7/25/2020 12:45,User378, Facebook ,#Tag378 #Fun,2,45, Germany         ,2020,7,25,12,43,male
2,300," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Neutral,8/22/2018 17:20,User295, Facebook ,#Tag295 #Fun,2,48, Australia ,2018,8,22,17,52,female
6,304," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Negative,11/2/2020 19:30,User299, Instagram ,#Tag299 #Fun,2,20, Australia ,2020,11,2,19,50,male
3,356,Excitement builds while preparing for a surprise celebration.     ,Neutral,3/5/2023 15:00,User351, Facebook ,#Tag351 #Fun,2,60, Australia          ,2023,3,5,15,50,female
1,28, Learning a new language for personal growth.       ,Negative,1/23/2023 16:20,User26, Facebook ,#Tag26 #Fun,2,50, India     ,2023,1,23,16,39,male
5,793,Sneaking snacks into class like a pro. The art of snack-smuggling is a sacred skill! ,Neutral,12/26/2023 1:05,User788,Snapchat,#Tag788 #Fun,2,5, UK ,2018,5,71,4,8,male
2,20, Sipping coffee and enjoying a good book.           ,Neutral,1/21/2023 8:40,User20, Twitter  ,#Tag20 #Fun,2,45, India    ,2023,1,21,8,47,male
3,348,Overjoyed by the warmth of a cozy fireplace on a winter evening.   ,Negative,12/8/2021 19:30,User343, Twitter  ,#Tag343 #Fun,2,35, Canada            ,2021,12,8,19,46,female
5,345,Bittersweet emotions arise while bidding farewell to a dear friend. ,Negative,3/15/2020 18:30,User340, Instagram ,#Tag340 #Fun,2,40, Japan             ,2020,3,15,18,58,male
1,344,"Reflecting on life's journey, grateful for the lessons learned. ",Positive,12/5/2018 8:45,User339, Twitter  ,#Tag339 #Fun,2,70, Brazil            ,2018,12,5,8,52,male
